Pos,Name,Lap0,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Gap0,Gap1,Gap2,Gap3,Gap4,Gap5,Gap6,Gap7,Gap8
1,VAN DER POEL Mathieu,16412,444108,461439,470034,459368,460312,470512,478071,504587,0,0,0,0,0,0,0,0,0
2,VAN AERT Wout,17196,489404,464237,466634,464884,464274,476895,473242,492565,1000,46000,49000,46000,51000,55000,61000,56000,45000
3,NYS Thibau,17091,473346,476386,472593,468779,480257,486830,466967,488531,1000,30000,45000,48000,57000,77000,93000,82000,66000
4,NIEUWENHUIS Joris,17312,467205,482774,471715,463842,485175,486773,480538,484571,1000,24000,46000,48000,51000,77000,92000,95000,75000
5,VERSTRYNGE Emiel,16578,479992,471323,479976,482862,483597,492174,486424,484894,0,36000,46000,56000,79000,103000,124000,132000,113000
6,AERTS Toon,16329,480861,482133,487740,476907,484021,498119,484753,469671,0,37000,58000,76000,92000,116000,144000,150000,116000
7,VANTHOURENHOUT Michael,16480,468246,482223,473439,496964,497485,490492,481238,477747,0,24000,45000,49000,86000,123000,143000,146000,120000
8,WYSEURE Joran,17426,501203,478004,477302,475946,492250,484508,489342,471758,1000,58000,75000,82000,98000,131000,144000,155000,123000
9,VAN DER HAAR Lars,16642,493999,481200,478402,479780,482565,493453,488910,478324,0,50000,70000,79000,99000,121000,144000,154000,129000
10,SWEECK Laurens,16656,464069,486661,473584,488917,484748,499515,502069,496657,0,20000,46000,49000,78000,103000,132000,156000,148000
11,KAMP Ryan,17213,491322,481286,483653,496829,493471,485732,493305,485915,1000,48000,68000,82000,119000,152000,167000,182000,164000
12,ORTS LLORET Felipe,16765,468528,492997,496658,490705,495922,488566,492107,487229,0,25000,57000,83000,114000,150000,168000,182000,165000
13,ISERBYT Eli,16866,480766,489364,481055,491308,498161,488735,531655,498448,0,37000,65000,77000,108000,146000,164000,217000,212000
14,VANDEPUTTE Niels,16908,488359,485042,487732,489271,501062,504122,508311,503766,0,45000,69000,87000,116000,157000,190000,220000,220000
15,DOUBEY Fabien,18177,487213,480435,480935,499640,497702,493937,513624,520314,2000,45000,64000,75000,115000,153000,176000,211000,227000
16,KUHN Kevin,16683,483021,510555,489906,498892,496464,516136,498598,504695,0,39000,89000,109000,148000,184000,229000,250000,250000
17,VENTURINI Clement,17265,488183,480645,481886,482304,514315,500888,532170,529129,1000,45000,65000,76000,99000,153000,183000,237000,262000
18,MEIN Thomas,17752,487185,486752,483328,528120,527758,507681,499635,515580,1000,44000,70000,84000,152000,219000,256000,278000,289000
19,FUNSTON Scott,17535,498454,502210,504642,504898,506763,506253,507797,515514,1000,55000,97000,131000,176000,223000,258000,288000,300000
20,HENDRIKX Mees,16921,501909,505950,497828,508653,508241,512028,512581,515776,0,58000,103000,131000,180000,228000,269000,304000,315000
21,RONHAAR Pim,17596,493334,510239,529231,492435,491855,497062,523974,539879,1000,50000,100000,159000,191000,223000,249000,295000,331000
22,BERTOLINI Gioele,17321,501871,489456,514426,509835,511582,514705,518663,521917,1000,59000,87000,132000,181000,233000,277000,317000,335000
23,MENUT David,17874,515024,508496,502671,507811,513203,515566,520634,517401,1000,72000,120000,153000,200000,254000,298000,341000,354000
24,BOROŠ Michael,17072,501163,511227,496514,500234,512100,520514,541714,532404,1000,58000,108000,134000,175000,227000,276000,340000,368000
